-11.82, -25.38, 201.26, 123.69
2.27, -28.20, 122.66, 272.87
26.68, -9.45, 111.91, -76.02
23.66, -82.66, 154.68, -10.36
-26.19, -38.30, 138.75, 36.09
-3.50, -35.65, 141.07, 287.23
21.35, 17.82, 170.88, -77.80
9.68, 16.97, 133.11, -317.42
26.20, 41.11, 182.79, -37.12
-28.00, -72.84, 125.46, 162.11
22.54, -22.52, 146.82, 284.12
-27.30, 64.59, 174.53, -236.90
30.41, -89.91, 172.45, -142.85
21.68, -13.14, 211.17, -191.11
43.02, -41.18, 209.53, 42.26
-0.25, 48.46, 192.81, 128.80
1.84, 70.75, 148.90, 201.85
-28.91, 47.85, 202.17, 46.39
-5.31, -37.94, 177.74, -93.75
-33.12, -58.20, 204.65, 157.71
6.65, -6.08, 221.30, -224.84
-31.09, 89.87, 209.66, 197.66
21.68, 79.22, 134.67, -327.16
30.69, -42.65, 225.05, -56.75
12.97, -48.74, 120.64, -93.19
-17.41, -24.25, 157.71, -228.27
39.04, 44.08, 147.85, 264.49
28.09, -92.05, 172.46, 49.08
16.87, -73.69, 215.69, -99.44
-1.52, 68.98, 217.54, 36.16
-23.46, 91.28, 114.34, -242.51
19.33, 74.16, 207.05, 162.24
35.51, -42.85, 164.68, -120.74
-3.61, -75.69, 145.49, -38.41
-31.10, -35.20, 125.24, 4.97
34.37, -6.15, 203.99, 164.74
-18.21, -42.46, 128.42, -129.04
44.55, 81.47, 175.79, 121.60
32.12, 33.43, 119.83, -233.81
37.24, 28.55, 198.38, 320.46
39.79, -5.25, 224.37, -192.03
-2.61, 59.40, 149.93, -216.52
-44.30, -51.29, 215.34, 226.98
26.23, -21.79, 191.99, 82.01
-33.56, -65.14, 140.12, 257.25
44.35, -85.73, 128.64, 159.33
-13.73, 96.47, 167.07, 160.07
15.08, 55.03, 122.15, -320.84
28.12, 26.17, 181.29, 111.12
-24.29, 69.22, 197.66, 103.36
22.57, -70.66, 147.92, -322.23
-42.09, -83.94, 118.34, -173.33
25.14, -84.45, 229.21, -45.04
7.05, -64.02, 142.06, 9.92
-33.88, 35.35, 166.01, -90.22
4.70, 49.56, 183.55, -294.21
-29.92, 0.09, 169.28, -150.60
-40.01, 34.49, 118.10, 39.28
-37.95, 6.14, 227.92, -219.76
-39.57, -51.58, 148.42, 137.53
-3.27, 66.24, 146.72, -118.34
18.22, -56.68, 160.71, 185.26
-12.83, -83.85, 123.98, 178.14
26.09, -92.34, 160.66, 268.06
-37.84, -57.31, 213.24, -246.45
12.39, -99.54, 169.14, -329.02
-31.02, 98.83, 131.93, -117.96
-39.29, -6.11, 111.78, 84.79
-27.07, -88.68, 137.37, 86.03
-6.75, 24.66, 173.77, 249.13
-35.78, 70.00, 220.56, -209.52
44.76, 55.84, 212.09, -289.06
23.81, 18.10, 227.77, -179.10
23.60, 17.88, 125.72, 254.00
-0.34, -31.85, 117.20, -47.61
-9.38, 67.54, 211.87, -290.70
44.86, -63.96, 146.28, 255.48
33.25, 28.59, 154.72, -227.97
-20.17, 2.20, 181.64, 283.80
-7.53, -81.90, 170.27, -316.04
38.30, -33.59, 135.45, -158.69
15.45, -88.58, 211.15, 45.67
16.18, 63.50, 156.44, -259.04
16.91, 45.95, 115.78, 30.14
15.93, 87.55, 160.34, 35.21
32.12, 2.47, 180.64, -6.63
-24.05, 22.94, 225.36, 117.47
24.15, 8.24, 139.38, -317.76
-16.25, 8.03, 172.07, -190.16
-35.28, -47.14, 193.04, 202.55
26.30, -63.07, 214.75, 306.39
-22.20, -2.02, 221.25, -88.68
23.09, -87.21, 226.35, 90.90
45.64, -2.11, 122.33, -159.16
20.28, -35.47, 136.47, 116.15
0.27, 77.68, 174.88, 248.35
-31.41, -87.95, 168.30, 218.34
-2.64, -72.19, 160.59, 35.17
